year_month,week_id,city_id,city,gas_id,gas_type,venue_name,gas_price,collected_date
202205,1195,9668,São Paulo,476,GNV,Serviços Automotivos Pedrodavi Ltda.,4.78,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Posto de Servico Sagitario Ltda,4.78,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Imperio Ltda,4.79,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Lider Bandeiras Ltda,4.89,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Lider Santos Dumont Ltda,4.89,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Tropical Gasolinas e Servicos Automotivos Ltda,4.89,11/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Ana Neri Ltda,4.89,10/05/2022
202205,1195,9668,São Paulo,476,GNV,Cambuci Auto Posto Limitada,4.9,10/05/2022
202205,1195,9668,São Paulo,476,GNV,Start Auto Posto Ltda,4.92,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Novo Luz da Radial Ltda,4.92,11/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Gold Star Ltda,4.99,11/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Cristais do Tatuape Ltda,4.99,11/05/2022
202205,1195,9668,São Paulo,476,GNV,Super Posto Flor do Carrão Ltda,5.17,11/05/2022
202205,1195,9668,São Paulo,476,GNV,Centro Automotivo Arco do Triunfo Ltda.,5.19,09/05/2022
202205,1195,9668,São Paulo,476,GNV,Auto Posto Playgas Ltda - Me,5.29,09/05/2022
202205,1195,9668,São Paulo,476,GNV,P S Santa Cecilia Ltda,5.29,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Anhaia Mello Ltda,5.99,10/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Serviços Automotivos Pedrodavi Ltda.,6.16,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,J. D. Posto de Servicos Ltda,7.39,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Posto Ciara Ltda,6.19,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL, Auto Posto Forca Maxima Ltda,6.34,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Michele Ltda,6.39,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Guairaca Ltda,6.39,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Boxter Marginal Ltda,6.54,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto Taquara Ltda,5.08,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Combustiveis Radial Oeste Ltda.,5.09,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Combustivel Mega Engenho Novo Ltda,5.19,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto de Gasolina Barcelos Ltda,7.55,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto Garagem Novo Modelo Ltda,7.59,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto Taquara Ltda,7.59,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Gold Star Ltda,6.54,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Alvorada Paulista Ltda,6.54,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Ouro Negro Comb Lubr Acess e Serv Ltda,7.14,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto Mirante da Taquara Ltda,5.19,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Auto Posto Quatro Amigos Ltda,5.19,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Champgas do Brasil Limitada - Me,5.19,11/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Serviços Automotivos Pedrodavi Ltda.,6.22,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Novo Americas Ltda,6.19,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Posto Taquara Ltda,6.19,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Auto Posto 123 Ltda,7.59,11/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Amazonas Servicos e Abastecimento Ltda,6.47,11/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Aveiro Eireli,6.44,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Ouro Negro Comb Lubr Acess e Serv Ltda,5.79,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Posto de Servico Sagitario Ltda,6.54,09/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Algas Ltda,4.59,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto Linda de Combustiveis e Servicos Automotores Ltda,7.24,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Auto Posto Pistao Ltda,5.19,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Posto Ciara Ltda,6.29,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10, Auto Posto Forca Maxima Ltda,6.38,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Posto de Gasolina Amizade de Jacarepagua Ltda,6.19,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Novo Bandeirantes de Jacarepagua Ltda,6.2,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Center Vale do Pan 2007 Ltda. - Me,6.28,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Arcanjo Iii Ltda,6.28,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto do Trabalho Maracana Ltda,6.39,11/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto Chacaltaya Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Posto de Combustiveis Allgas Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto Mini Praca Ltda,7.59,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto de Combustiveis Capitao Engenho Novo Ltda,7.69,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto e Garage Lins Ltda,7.69,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Auto Posto do Trabalho Maracana Ltda,7.69,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto de Gasolina Star da Tijuca Ltda,7.69,11/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto Sentinela Ltda,6.49,10/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto Zanwal Ltda,6.56,09/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto Michele Ltda,6.56,09/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Sentinela Ltda,6.49,10/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Plasma Ltda,6.49,11/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Posto Diamante Ltda,6.49,10/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Posto de Gasolina Barcelos Ltda,5.79,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Auto Center Turbinado Ltda,5.88,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Posto Linda de Combustiveis e Servicos Automotores Ltda,5.89,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Eco Empreendimentos Comerciais Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,476,GNV,Mineirao Posto de Servicos Ltda,5.49,10/05/2022
202205,1195,2754,Belo Horizonte,476,GNV,Posto Coelho Ltda,5.49,10/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Start Auto Posto Ltda,6.54,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Sakura Ltda,6.59,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Formoso Posto de Servicos Automotivos Ltda.,6.74,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Centro Automotivo Arco do Triunfo Ltda.,6.99,09/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Auto Posto Águia Forte Ltda,6.99,11/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Posto de Serviços Lins Ltda,7.09,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Artico Ltda,4.59,09/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Amazonas Servicos e Abastecimento Ltda,4.67,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Posto Diamante Ltda,4.69,10/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Quick Ltda,7.59,11/05/2022
202205,1195,2754,Belo Horizonte,532,DIESEL,Posto Jupiter Ltda,6.64,11/05/2022
202205,1195,2754,Belo Horizonte,532,DIESEL,Posto Mario Werneck Limitada,6.84,10/05/2022
202205,1195,2754,Belo Horizonte,532,DIESEL,Rol Comercio de Derivados de Petroleo Ltda,6.89,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Center Turbinado Ltda,7.38,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,J. D. Posto de Servicos Ltda,7.39,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Posto Arcanjo Iii Ltda,7.48,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto Garagem Novo Modelo Ltda,7.49,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Posto 123 Ltda,7.49,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Frentana Posto de Servico Ltda,5.29,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Gasolina Amizade de Jacarepagua Ltda,5.29,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Combustiveis Capitao Engenho Novo Ltda,5.29,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Servicos Geremario Dantas de Jacarepagua Ltda,5.29,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Gasolina Maria da Graca Ltda,5.29,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Auto Posto do Trabalho S/a,5.29,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Posto Pauliceia Ltda,6.39,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Posto de Servicos Petroplus Ltda,6.39,10/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Elite Posto de Servicos Ltda,6.39,09/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Gnv Sete Belo Ltda,6.598,10/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Jupiter Ltda,6.79,11/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Tindiba Auto Posto Ltda,6.29,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Guerengue Minishop Ltda,6.29,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Posto de Combustiveis Allgas Ltda,6.29,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Curicica Ltda,6.4,09/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Trancoso Ltda,5.43,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Parque Ltda,5.43,11/05/2022
202205,1195,9025,Campinas,476,GNV,Auto Posto Global de Campinas Ltda,4.97,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Posto Silomar de Combustiveis e Acessorios Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Projac Rio  2016 Auto Posto Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Center Vale do Pan 2007 Ltda. - Me,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto e Garagem Tres Pastorinhos Ltda,7.69,11/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto Bahamas Ltda,6.59,11/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Artico Ltda,6.49,09/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Algas Ltda,6.49,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,J. D. Posto de Servicos Ltda,5.89,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Auto Posto Mikonos Ltda,5.99,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Posto de Gasolina Gasoal Ltda,5.99,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Posto de Combustivel Mega Engenho Novo Ltda,5.99,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Zeppelin Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Parada Obrigatoria Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Sao Joao Comb e Lubr Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Floresta Ltda.,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,476,GNV,Gnv Sete Belo Ltda,5.59,10/05/2022
202205,1195,9668,São Paulo,532,DIESEL,Agua Funda Servicos Automotivos Ltda,7.29,10/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Auto Posto Portal Mirandopolis Ltda,6.59,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Centro Automotivo Riviera Campinas Eireli,6.64,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Auto Posto Picarrao Ltda,6.65,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Captiva Auto Posto e Servicos Ltda,6.77,09/05/2022
202205,1195,9025,Campinas,532,DIESEL,D. Pedro Parking Posto Ltda,5.94,09/05/2022
202205,1195,9025,Campinas,532,DIESEL,Auto Posto Picarrao Ltda,6.05,09/05/2022
202205,1195,9025,Campinas,487,GASOLINA COMUM,Posto Brasil 2000 Ltda,6.49,09/05/2022
202205,1195,9025,Campinas,812,DIESEL S10,D. Pedro Parking Posto Ltda,5.99,09/05/2022
202205,1195,9025,Campinas,643,ETANOL HIDRADATO,Posto Brasil 2000 Ltda,4.49,09/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Partida Ltda,4.69,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Plasma Ltda,4.69,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Elidia Ltda,4.69,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Andorinha Ltda,4.69,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Jardim do Cambuci Ltda,4.69,10/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Auto Posto Aveiro Eireli,4.76,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Leste Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Sao Joao Comb e Lubr Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Floresta Ltda.,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Mem de Sa Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Araujo Comercio e Distribuicao de Combustiveis e Lubrificantes Ltda.,7.64,10/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto de Gasolina Barcelos Ltda,7.55,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto Mirante da Taquara Ltda,7.57,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Center Vale do Pan 2007 Ltda. - Me,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto de Gasolina Praia da Barra Ltda,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Posto Novo Bandeirantes de Jacarepagua Ltda,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto e Garagem Tres Pastorinhos Ltda,5.29,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Auto Posto Girassol Ltda  - Me,5.29,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto de Gasolina Fhc Ltda,5.39,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto Ana Neri Ltda,6.4,10/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Amazonas Servicos e Abastecimento Ltda,6.47,11/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto Guapore Ltda,6.49,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto Algas Ltda,6.49,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Danubio Ltda,6.89,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Parque Ltda,6.89,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto do Papai Ltda,6.9,11/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Posto e Servicos Mapua Ltda,6.4,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Cristiane Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Posto de Gasolina Fhc Ltda,6.49,09/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Centro Comercial de Combustiveis Minas Palmares Ltda,5.43,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Jupiter Ltda,5.44,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Quick Ltda,5.44,11/05/2022
202205,1195,9025,Campinas,476,GNV,Posto Garcia de Campinas Ltda,5.07,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Posto e Garage Lins Ltda,6.49,11/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto Novo Bandeirantes de Jacarepagua Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto Silomar de Combustiveis e Acessorios Ltda,7.69,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto de Gasolina Gasoal Ltda,7.69,11/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Posto de Combustiveis Radial Oeste Ltda.,7.69,11/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Serviços Automotivos Pedrodavi Ltda.,6.62,09/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Posto de Servico Sagitario Ltda,6.63,09/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto Monet Ltda,6.68,10/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Auto Posto San Martin Ii Ltda.,6.69,09/05/2022
202205,1195,9668,São Paulo,488,GASOLINA ADITIVADA,Posto de Servicos Petroplus Ltda,6.69,10/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,M27 Auto Posto e Conveniencia Ltda,6.55,10/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Michele Ltda,6.56,09/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Zanwal Ltda,6.56,09/05/2022
202205,1195,9668,São Paulo,487,GASOLINA COMUM,Auto Posto Anhaia Mello Ltda,6.56,10/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Posto de Combustiveis Capitao Engenho Novo Ltda,5.99,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Auto Posto 123 Ltda,5.99,11/05/2022
202205,1195,7043,Rio De Janeiro,643,ETANOL HIDRADATO,Auto Posto Arcanjo Iii Ltda,6.08,09/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Olimar Comercio de Combustiveis Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto do Papai Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto Mem de Sa Ltda,7.44,11/05/2022
202205,1195,2754,Belo Horizonte,487,GASOLINA COMUM,Posto de Combustiveis Vila Platina Ltda,7.44,11/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Posto Sao Jorge Campinas Ltda,6.78,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Auto Posto Portal da Lagoa Ltda,6.79,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,D. Pedro Parking Posto Ltda,6.79,09/05/2022
202205,1195,9025,Campinas,488,GASOLINA ADITIVADA,Centro Automotivo Pindorama Ltda,6.87,09/05/2022
202205,1195,9025,Campinas,532,DIESEL,Posto Garcia de Campinas Ltda,6.09,09/05/2022
202205,1195,9025,Campinas,487,GASOLINA COMUM,Centro Automotivo Riviera Pompeia Ltda,6.57,09/05/2022
202205,1195,9025,Campinas,812,DIESEL S10,Notre Dame Auto Posto de Combustíveis Ltda.,6.199,09/05/2022
202205,1195,9025,Campinas,643,ETANOL HIDRADATO,D. Pedro Parking Posto Ltda,4.69,09/05/2022
202205,1195,9025,Campinas,643,ETANOL HIDRADATO,Auto Posto Portal Mirandopolis Ltda,4.79,09/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,M22 Auto Posto e Conveniencia Ltda,4.78,09/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,M27 Auto Posto e Conveniencia Ltda,4.78,10/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Posto Nova Brasilia Ltda,4.79,11/05/2022
202205,1195,9668,São Paulo,643,ETANOL HIDRADATO,Centro Automotivo R 2 Requinte Ltda,4.79,11/05/2022
202205,1195,2048,Vitória,476,GNV,Posto Santa Rita Ltda,5.349,10/05/2022
202205,1195,2048,Vitória,476,GNV,Posto de Combustíveis Mirante Ltda,5.399,10/05/2022
202205,1195,2048,Vitória,487,GASOLINA COMUM,Rm 1 - Comercio de Combustiveis e Lubrificantes Ltda,7.359,10/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Zeppelin Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto de Combustiveis Vila Platina Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Olimar Comercio de Combustiveis Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Rol Comercio de Derivados de Petroleo Ltda,7.64,11/05/2022
202205,1195,2754,Belo Horizonte,488,GASOLINA ADITIVADA,Posto Parada Obrigatoria Ltda,7.64,11/05/2022
202205,1195,2048,Vitória,488,GASOLINA ADITIVADA,Auto Posto Marlin Ltda,7.369,11/05/2022
202205,1195,2048,Vitória,488,GASOLINA ADITIVADA,Renova Comercio Combustivel e Servicos Ltda,7.379,11/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto Taquara Ltda,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Posto Silomar de Combustiveis e Acessorios Ltda,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Auto Posto de Abastecimento Estrela do Oceano Ltda - Me,7.59,09/05/2022
202205,1195,7043,Rio De Janeiro,487,GASOLINA COMUM,Champgas do Brasil Limitada - Me,7.59,11/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Posto e Servios Dimanches Ltda,5.39,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Auto Center Vale do Pan 2007 Ltda. - Me,5.39,09/05/2022
202205,1195,7043,Rio De Janeiro,476,GNV,Centro Automotivo Ancora Ltda,5.39,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto M1 Eireli,6.49,10/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Trapezio Auto Posto Ltda,6.49,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto e Transportes Minuano Ltda,6.49,09/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Auto Posto Gral Ltda,6.49,11/05/2022
202205,1195,9668,São Paulo,812,DIESEL S10,Allbatross Servicos Automotivos Ltda,6.49,10/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Rol Comercio de Derivados de Petroleo Ltda,6.94,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Oceano Ltda,6.94,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Quick Ltda,6.94,11/05/2022
202205,1195,2754,Belo Horizonte,812,DIESEL S10,Posto Leste Ltda,6.94,11/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Frentana Posto de Servico Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Auto Posto Rede Parceiro Bandeirantes Ltda,6.59,09/05/2022
202205,1195,7043,Rio De Janeiro,532,DIESEL,Posto e Garagem das Nações Ltda.,6.89,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Sao Joao Comb e Lubr Ltda,5.44,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Zeppelin Ltda,5.44,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Olimar Comercio de Combustiveis Ltda,5.44,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Danubio Ltda,5.44,11/05/2022
202205,1195,2754,Belo Horizonte,643,ETANOL HIDRADATO,Posto Oceano Ltda,5.49,11/05/2022
202205,1195,9025,Campinas,476,GNV,Posto Jardim do Trevo Ltda,5.17,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto Guerengue Minishop Ltda,6.49,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto do Trabalho S/a,6.54,09/05/2022
202205,1195,7043,Rio De Janeiro,812,DIESEL S10,Auto Posto Maramar Ltda,6.55,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Auto Posto Novo Bandeirantes de Jacarepagua Ltda,7.69,09/05/2022
202205,1195,7043,Rio De Janeiro,488,GASOLINA ADITIVADA,Auto Posto Guerengue Minishop Ltda,7.74,09/05/2022
